微博id,发布者,发布者id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwuXT47hk,恒温兔子陈安安,5346425227,本科在武汉，18年毕业后马不停蹄的去了香港读研，然后今年5月回了南京～非常幸运地躲过了武汉的肺炎和香港的动乱～11月正式拿毕业证毕业，然后同一个月签订了就业合同，找到了一份喜欢的工作～紧接着疫情来了，正在度过超长带薪寒假,无,无,2020-02-29 23:59,iPhone客户端,0,0,5
IwuXQnXuP,本人不怂嘚,5564735477,眼见着今天要结束了，其实并没有要说的，但是避免四年后的今天又要出一些话题说讨论一下四年前的今天啥子的，所以我决定就发这个，至少到时候有这条微博可以看，只希望四年后的今天微博还在，并热度依旧,无,无,2020-02-29 23:59,荣耀V20 4800万3D相机,0,0,2
IwuXQnIwF,我的前世是王爷,3888051128,2016年是上一个闰年，刚好2月左右也在武汉停留，武汉是个美丽的城市。2020年爆发了新冠肺炎，武汉短暂的安静了下来，当然，这一切终将好起来，武汉也会恢复当日的繁华。16年非常多的惊喜，第一次出国，第一次潜水，第一次升学，第一次爬雪山……今年又会有什么样的惊喜呢？下一个四年呢？A bold attempt is half success !（2020年2月29日） ,无,http://t.cn/RghOMBP,2020-02-29 23:59,荣耀V20 4800万3D相机,4,0,1
IwuXLD9gE,spa310,1647049781,【显影|方舱医院里的怕和爱】文丨财新记者  萧辉 包志明 高昱 摄影记者 丁刚（发自武汉） 作为新冠肺炎病人最大的收治地和栖息地，方舱医院是显影|方舱医院里的怕和爱（来自财新客户端） ,无,无,2020-02-29 23:59,iPhone客户端,0,0,0
IwuXIoER3,Aom-m,2151902514,在这四年一遇的日子里，大姑永远的离开了我们，在肆虐的时候，连她最后一面也没见到，她连进祠堂都不被允许，就这样走掉了。大姑对我的意义，要从小时候说起，可以说，她是“亲戚“的代名词，小时候过年的一大意义就是可以去大姑家，大姑家有着我最美好的童年回忆。长大后，大姑依然是我心底里柔软的一个角落，但她已经老了，甚至认不出我了，我也听不懂她的话了。大姑从此只存在记忆里了，一路走好，天堂没有病痛，爱你。,无,无,2020-02-29 23:59,iPhone客户端,0,0,0
IwuXGFGaV,江城蓝衣行者,3217159462,今晚不发圈，错过等四年。今晚不打卡，错过等四年。    2020年2月，新冠肺炎疫情肆掠，武汉经过了这艰难的时期，全国人民增援武汉，现决胜反攻，现在患病的人一天比一天少，治愈的不断增加。马上就要看到了曙光。大家宅在家里也是做贡献，也许错过了这个春天，但还有下一个春天会更美好。         在跑步群里，每天正能量满满，大家安心宅在家里跑步打卡，日行百里，月跑千里，甚为感慨。    今天是四年一遇的特别日子，2020年2月29日闰年闰月，晚上下班后跑步打卡，向大神们靠拢。    期待疫情早日结束，还我蓝天白云，还我最美风景。    武汉，必胜！    中国，必胜！[胜利][胜利][胜利] ,无,http://t.cn/R2WxQOQ,2020-02-29 23:59,iPhone客户端,1,0,0
IwuXGnYGw,法制与生活新闻观察,2683369107,【再多坚持一点，胜利就能来得早一点[加油]】刚强：今天，一名大学生刷屏网络。他放寒假从武汉回老家后确诊新冠肺炎，但途中做好防护、回家后坚持自我隔离，整整38天未传染任何人！其实，他的做法恰恰是中国应对疫情措施的一个缩影。疫情最吃劲的时候还没有过，，我们一起加油！ ,无,无,2020-02-29 23:59,三星android智能手机,0,0,0
IwuXG3UY5,谁是你的妃,6082075525,"《为武汉抗新冠毒肺炎志士李跃华鼓与呼！_中医远程治疗-网诊舌诊芳草地_新浪博客》为武汉抗新冠毒肺炎志士李跃华鼓与呼！_中医远程治疗-网诊舌诊芳草地_新浪博客_中医远程治疗-网诊舌诊芳草地_新浪博客,中医远程治疗-网诊舌诊芳草地,为武汉抗新冠毒肺炎志士李跃华鼓与呼！ 在中国人民",无,无,2020-02-29 23:59,百度App,1,0,0
IwuXFqPPV,-不吃香菜·,5418484867,四年一遇的日子2月29日庚子年二月初七这个2020年开头好像似乎不是那么好……由于武汉肺炎引发的疫情持续蔓延，到目前我国还是没有完全战胜，不过情况还是有所好转，看到那些奔赴前线的战士们我心里由衷的佩服，有国才有家，只有国家好我们的小家才能好！加油伟大的战士们！加油国家！再等等，天气就快要晴了！                                 写于2020年2月29日                                            晚上11点59分,无,无,2020-02-29 23:59,iPhone客户端,5,0,5
IwuXq74LZ,奕亦不凡,5636005061,我正在看【【疫情防控】桂林小清华果然有两把刷子👏👏十分钟出结果！桂电成功研制出新型冠状病毒现场快速检测试纸并将形成量产-桂林电子科技大学】，分享给你，一起看吧！  ,无,无,2020-02-29 23:58,荣耀10 AI变色更潮美,7,0,0
IwuXlpcPN,_啾咪xi啾咪_,5712085195,四年后不忘初心吧还要和我的家人还有姐妹一起好好加油!此时的我还是大二下半下学期 此时还处于新型冠状病毒肺炎防控阶段希望祖国国泰民安 中国加油 武汉加油 ,无,无,2020-02-29 23:58,vivo X21屏幕指纹手机,0,0,0
IwuXl4K1u,南京军休讲师团,5893660290,时至今日，围绕新冠肺炎疫情源头仍有两个谜团亟待解决：其一，疫情发源地是否是武汉华南海鲜市场？进一步追问，疫情是否发源于中国？美国的流感疫情是否与新冠病毒相关？专家更强调，开展病毒溯源的国际合作，有助于明确病毒起源、中间宿主、传播方式等，尽可能地切断病毒传播途径。,无,无,2020-02-29 23:58,微博 weibo.com,0,0,0
IwuXj1ovU,頭頭頭仔的女朋友,1017524015,《一名中医师的自述：感染后，我对病毒狠狠还手》去年12月底，和许多武汉人一样，我也是从网上看到那篇关于不明原因肺炎救治的紧急通知，是否传染，并没有提及。 ,无,无,2020-02-29 23:58,百度App,0,0,0
IwuWWx2K2,武汉晨报,1736305802,【38天！教科书式自我隔离！武汉大学生确诊后未传染一人,无,无,2020-02-29 23:57,iPhone客户端,16,1,0
IwuWQ49lR,明日快1周,1664208502,【湖北首次发布县（市、区）疫情风险等级评估】湖北省29日首次发布《湖北省县（市、区）新冠肺炎疫情风险等级评估报告》，按低风险、中风险、高风险三个等级对所有103个县（市、区）进行等级评估。低风险的五峰县等11个县（市、区）全部位于鄂西地区，猇亭区等34个县（市、区）为中风险，英山县等58个县（市、区）为高风险。　　根据有关规定，风险划定标准为：以县市区为单位，无确诊病例或连续14天无新增确诊病例为低风险地区；14天内有新增确诊病例，累计确诊病例不超过50例，或累计确诊病例超过50例，14天内未发生聚集性疫情为中风险地区；累计病例超过50例，14天内有聚集性疫情发生为高风险地区。　　湖北省疾控中心组织专家综合评估，截至28日24时，湖北全省低风险县（市、区）为五峰县、来凤县、远安县、兴山县、鹤峰县、秭归县、宣恩县、宜都市、保康县、老河口市、利川市等11个，占所有县（市、区）总数的10.68%；中风险县（市、区）为猇亭区、竹溪县、竹山县、郧西县、夷陵区、罗田县、崇阳县、通山县、赤壁市、点军区、咸丰县、神农架林区、巴东县、郧阳区、房县、建始县、枝江市、江陵县、通城县、长阳县、东宝区、谷城县、枣阳市、大冶市、梁子湖区、掇刀区、荆州区、蕲春县、恩施市、伍家岗区、沙洋县、 红安县、仙桃市、汉南区等34个，占33.01%；其余58个县（市、区）为高风险，占56.31%。湖北省将根据疫情变化发展情况，评估、更新各县市区疫情风险等级。（记者王贤、梁建强）,无,无,2020-02-29 23:57,HUAWEI Mate 20 X 5G,1,0,0
IwuWKtaRf,yiqimu53,6622831538,韩国新增594例新冠肺炎  现在每天最大的问题...就是吃神马. 哎. 心塞. 熬完一天是一天...快解封吧. 阿啊啊啊啊.!!!,无,无,2020-02-29 23:57,微博 weibo.com,0,0,0
IwuWInKOC,浅末风尘,6351849037, 新加坡卫生部今晚发布公告称，当天新增4例 感染的肺炎病例，累计确诊102例。4例确诊病例皆与此前确诊的一个感染源有关联。 ,无,无,2020-02-29 23:56,iPhone 6s,2,0,0
IwuWI3pbo,Leonard·LN,2768993983, 新冠肺炎来自哪里？意大利也有明白人意大利前民主党主席贝尔萨尼在参加电视节目时表示：“为什么在意大利的所有感染者中，没有一例来自中国或与中国有关？我怀疑这病毒是在警报发生之前，就已经存在于意大利，我们只是在用已经传播的病毒来追究中国人。”目前意大利确诊的600多例的新冠肺炎患者中，绝大多数人从未接触过中国人，更不曾到过中国。这让人不由想起美国疾控中心CDC的猜测：新冠肺炎可能早就在美国流行，并且极有可能被误诊为了普通流感。是否存在这种可能，新冠病毒早已悄悄地在欧洲、美洲、亚洲蔓延，在大多数地方它只被当作普通的流感处理。而当它出现在中国时，这个国家毫不犹豫地冲上去，试图挡住它、消灭它，试图为整个世界争取时间……终于又碰到一个明白人，先有日本的猜测，后有对比的相适性，世界上总有明白人，黑天鹅事件再一次上演，美国你的流感整明白没？ ,无,http://t.cn/RDUnNFD,2020-02-29 23:56,_iPhone客户端,1,0,0
IwuWF9gJx,山东高法,3823554401, 【38天！教科书式自我隔离！武汉大学生确诊后未传染一人,无,无,2020-02-29 23:56,iPhone 8,14,10,4
IwuWEdW9b,山西经济频道,6343510521,【38天！教科书式自我隔离！武汉大学生确诊后未传染一人,无,无,2020-02-29 23:56,无,0,0,0
IwuWqDHP6,天津滨海交警,6217854342,【 未感染一人 康复后捐献血浆】 会计专业大三学生郭岳，寒假从武汉回沧州老家后确诊新冠肺炎，最终未感染一人。他是如何做到的？①回家途中全程佩戴口罩；②回家后一直把自己隔离在房里；③2月7日出院后计划在车库隔离28天。,无,无,2020-02-29 23:56,小米9 SE,0,0,0
IwuW6wofi,七台河检察,5594542318,【再多坚持一点，胜利就能来得早一点[加油]】刚强：今天，一名大学生刷屏网络。他放寒假从武汉回老家后确诊新冠肺炎，但途中做好防护、回家后坚持自我隔离，整整38天未传染任何人！其实，他的做法恰恰是中国应对疫情措施的一个缩影。疫情最吃劲的时候还没有过，，我们一起加油！ ,无,无,2020-02-29 23:55,Android,0,0,1
IwuW6fpMA,经济之声,1704819467,【再多坚持一点，胜利就能来得早一点[加油]】刚强：今天，一名大学生刷屏网络。他放寒假从武汉回老家后确诊新冠肺炎，但途中做好防护、回家后坚持自我隔离，整整38天未传染任何人！其实，他的做法恰恰是中国应对疫情措施的一个缩影。疫情最吃劲的时候还没有过，，我们一起加油！  （央视新闻）,无,无,2020-02-29 23:55,iPhone X,22,3,0
IwuW3yuIM,董郎行,1736574887,网友：二月刷屏最后一条：图是假消息！风雨杳如年，尽量别迷失！,无,无,2020-02-29 23:55,iPhone 8 Plus,8,3,2
IwuVY0Y5B,李白头2010,1885504170,你看，这是馒头吗？不对！这是一根吃了三天的白萝卜切剩下的部分！明天还要吃一顿！2020/2/29是返京隔离第13天！明天就是第14天啦！给自己说声加油！隔离结束去办出入证买菜去！中国加油！武汉加油！祝大家早日战胜新冠肺炎！(这也是用的感叹号！最多的一次！) 北京 ,无,无,2020-02-29 23:55,小米MIX 2 全面屏手机,0,0,0
IwuVX8CU2,丽质滴胡椒,1943982221,那个拿了我的菜的人，我肚子里有一大堆祝福语要送给你 ,无,无,2020-02-29 23:55,iPhone客户端,0,0,0
IwuVTed40,上善建水,5869838221, 【38天！教科书式自我隔离！武汉大学生确诊后未传染一人,无,无,2020-02-29 23:54,360安全浏览器,1,0,0
IwuVwvg58,敬-美-耗-玉,3749041683,【再多坚持一点，胜利就能来得早一点[加油]】刚强：今天，一名大学生刷屏网络。他放寒假从武汉回老家后确诊新冠肺炎，但途中做好防护、回家后坚持自我隔离，整整38天未传染任何人！其实，他的做法恰恰是中国应对疫情措施的一个缩影。疫情最吃劲的时候还没有过，，我们一起加油！ 找粉进群>>>见粉必回,无,无,2020-02-29 23:54,小米Max3 大屏大电量,7,1,6
IwuVowb5M,新浪湖北,2049389352,【 | 武汉“保供战场”粮草充足】今天（29号）下午，湖北省新冠肺炎疫情防控工作指挥部召开第35场发布会，介绍武汉市生活物资保障情况。• 一个月内打击哄抬物价等违法行为339起• 点对点代买，着力解决特殊困难群众保供• 收集上报返岗信息，解决市场保供人力紧缺• 征用800多台公交车，提升团购配送运力• 武汉近期将给困难群众再增发价格补贴• 武汉：储备冻肉低于市场价格15%价格销售• 粮食储备可保障供应32天，市场供应品种丰富• 征集市民意见，正优化生活物资套餐内容,无,无,2020-02-29 23:53,浪北君的一条锦鲤,6,1,6
IwuVfDUL1,古镇珠山发布,5178570128,【再多坚持一点，胜利就能来得早一点[加油]】刚强：今天，一名大学生刷屏网络。他放寒假从武汉回老家后确诊新冠肺炎，但途中做好防护、回家后坚持自我隔离，整整38天未传染任何人！其实，他的做法恰恰是中国应对疫情措施的一个缩影。疫情最吃劲的时候还没有过，，我们一起加油！ ,无,无,2020-02-29 23:53,荣耀20,4,0,0
IwuVesTx6,ZHOUZIY1N,1748883694,#2020“不断看关于武汉肺炎的新闻，不断转发疫情的图片和文章，无心做别的事情，紧张、焦虑，仿佛热锅上的蚂蚁，急得团团转。”希望一起尽快好起来 吃想吃的东西 去想去的地方💓 ,无,无,2020-02-29 23:53,iPhone客户端,3,0,0
IwuV8gERU,顶级奢侈潮牌复刻工作室025号,5276321900,地极为广袤，楚天逸足足飞行了三日，却根本看不到山脉的边缘，不过相反的是，越是向前飞行，那里的树木也越加的茂密起来。 　　“似乎有些不对！”在一处阴翳的山林之Gucci古弛复古双G互扣Tee中，楚天逸停下来，锐目不断的扫视，这山 ,无,无,2020-02-29 23:53,微博 weibo.com,0,0,0
