微博id,发布者,发布者id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Io8sw2Zqp,蓁是不明所以的希奇古怪,5403686635,祈祷 ,无,无,2020-01-05 23:59,iPhone客户端,0,0,0
Io8sfarIx,大茹欸,1844057967,辛苦奋斗在一线的工作人员，感谢官方声明秋冬季节还是多注意身体啊 ,无,无,2020-01-05 23:59,捡的iPhone XS Max,6,0,5
Io8s7dAUh,奇葩图鉴,1202150843,香港论坛开始回忆2003年非典的情况了 ,无,无,2020-01-05 23:58,iPhone 11 Pro,31,0,5
Io8s1zNRW,Cul-de-sac_,1827925805,"冒着生命危险, 飞武汉吃碗热干面. ",无,无,2020-01-05 23:58,iPhone,4,0,10
Io8rX9JPV,雯雯小妮子,2937572351,没关系，相信现在医疗技术，祈求我们国人平安健康，繁荣富强 ,无,无,2020-01-05 23:58,iPhone客户端,1,0,0
Io8rExdEF,江户灰灰安,6150541055,祝已诊断的患者赶紧好起来，健康过年，也希望早日弄清病原体[加油] ,无,无,2020-01-05 23:57,iPhone客户端,1,0,0
Io8ryk5x1,菲包的4PM,5021580877, 危机早点解除吧 ,无,无,2020-01-05 23:57,HUAWEI Mate 20,0,0,0
Io8rwfGt7,慢半拍要努力V,6014224649,害 武汉人不慌啊该吃吃该喝喝，逛街的人也不少啊,无,无,2020-01-05 23:57,荣耀 9X,1,0,0
Io8rtAQbu,菁仪紫岐,6863410354,虽然现在已经不住在武汉了，但还是很想念热干面，豆皮。希望武汉平安🙏🙏🙏,无,无,2020-01-05 23:57,OPPO K1,0,0,0
Io8rt1oov,亮剑东风,2111006971,"武汉卫健委：不明原因肺炎已排除SARS等呼吸道病原分享自新华社客户端,更多内容请下载d.zhongguowangshi.com ",无,无,2020-01-05 23:57,新华社,0,0,0
Io8rs80A2,亮剑东风,2111006971,武汉不明原因病毒性肺炎患者增至59例，排除非典 ,无,无,2020-01-05 23:57,人民日报客户端,0,0,0
Io8rq4SGl,teapub,6973058210,武汉不明原因病毒性肺炎患者增至59例，排除非典 ,无,无,2020-01-05 23:56,人民日报客户端,0,0,0
Io8ri86Ig,保田人,1605871537,冬天来了，呼吸道感染病情很多，大家注意安全！ 贵阳·万科城 ,无,#武汉不明原因肺炎已排除SARS病原#,2020-01-05 23:56,无,1,0,0
Io8rapdQA,临汾消防,5425985446,【,无,无,2020-01-05 23:56,OPPO智能手机,2,2,0
Io8qZuLbP,绘梨衣君,5416263934,公共卫生和个人卫生做好，有状况及时去医院，所有人包括医护人员都要平平安安的,无,无,2020-01-05 23:55,抵达之谜-iPhone 8,0,0,0
Io8qQAh5e,简毅ASH,2028033074, 这事快点过去吧,无,无,2020-01-05 23:55,坚果手机 R1,0,0,5
Io8qNkQtD,阿宝嘉嘉,1980796192,这是一个好消息,无,无,2020-01-05 23:55,HUAWEI P20 Pro,1,0,1
Io8qD14FJ,夜兰笙,7195450019,希望可以快点查明病因，也祝生病的人赶紧好起来，健健康康的 ,无,无,2020-01-05 23:55,iPhone客户端,2,0,0
Io8qBf6p1,窦尔玩60128,7040255805,散布谣言8人被依法处理 散布谣言8人被依法处理 ,无,无,2020-01-05 23:54,学习强国客户端,0,0,0
Io8qrbZFI,好烦啊真的不知道该叫啥名字,6064239521,没事就好 还是希望尽早查出病源 ,无,无,2020-01-05 23:54,人間冰可樂,0,0,0
Io8qox1Zi,败家娘们领头羊,6571693326,凑单买点口罩，武汉香港都开始莫名肺炎了，澳洲也着火空气不好，出门没有雾霾也让小娃带口罩。还是昨天划算的价格。 ,无,无,2020-01-05 23:54,微博 weibo.com,0,0,1
Io8q5EAU2,啾咪小猪包,7078498257,希望早日查出来 ,无,无,2020-01-05 23:53,宇宙级小可爱,0,0,0
Io8q3hhiT,菇蘑菇蘑糯,1458331474,武汉发现不明原因肺炎：患者增至59例 已排除非典 - Flipboard武汉发现不明原因肺炎：患者增至59例 已排除非典 ,无,无,2020-01-05 23:53,iPad mini,0,0,0
