微博id,发布者,发布者id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
InZ23y9eM,9亿少年的梦-呀,6473625461,毕业论文初稿终于好了，最近太忙，我生病刚好，小康就发烧了，烧了三天，还住院一个星期，厄运快走开，让小康好起来，小脑瓜都快给孩子烧傻了,无,无,2020-01-04 23:59,iPhone客户端,3,0,0
InZ1vgEYW,关于猫,1839767440,嗯，上次在我转发的海王星合水星的那个帖子里，外说的话，你们谁信了?没沾沾自喜的意思，我只对“命运”这个东西感到恐惧。//分享网易视频《武汉不明原因病毒性：已发现患者44例，其中重症11例》 来自  ,无,无,2020-01-04 23:58,网易新闻客户端,0,0,0
InZ0WFaDi,小紫维尼呀,1685241194,自己很会刷牙,无,无,2020-01-04 23:57,HUAWEI nova 2s,2,0,2
InYZZhtLy,穿纸尿裤的猪猪女孩girl,2100831117,我在看：【香港疑似不明个案增至7宗 4人已出院】  香港疑似不明个案增至7宗 4人已出院 ,无,无,2020-01-04 23:54,新浪新闻客户端,0,0,0
InYYQmrUq,狮城日记,5180191621,今天开始，新加坡当局对从武汉直飞新加坡樟宜机场的旅客，进行体温扫描检测。然而据卫生部消息，一名曾到过武汉的中国籍3岁女童在新加坡出现症状，目前已接受住院和隔离治疗，至于具体病因还需进一步检查。目前新加坡只有酷航和乌鲁木齐航空这两个往返武汉的航班，现在武汉肺炎还没确定病因，作为小国新加坡更是慎之又慎，毕竟想一想03年的非典疫情，实在是太可怕了。,无,无,2020-01-04 23:51,iPhone 11,31,22,33
InYXu9Sx0,baobaobao,1232662732,心疼死了,无,无,2020-01-04 23:48,iPhone客户端,0,0,0
InYXty7Jf,一个小彤砸,6175893410,是什么阻止了我明个去天桥看我哥的论捧逗  是穷吗 不是  是没时间吗 不是   是加上连续两天高烧不退,无,无,2020-01-04 23:48,Android,1,0,4
InYWjtxJE,川川王小川,5114183167,昨晚口腔疼痛连带右耳右眼都痛。凌晨一点半醒了一直哭，先去的酒店对面医院，不接收小朋友。帮忙喊了的士出发去KKhospital。到医院拿号排队测体温量血压，值得一提的是护士在知道我们是从上海来的之后还另外确认了一下是否去过武汉，后来我才想明白为什么这么问—不明原因。初步检查完交了120新币费用开始排队等医生喊号，来的时候体温是37.5，护士说是normal所以没有安排加急，足足等了三个小时，体温上升到38.5，重新排了护士号加急就医。又等了半个小时终于等到了，医生特别详细的询问了病史，包括牙齿状况。检查了耳朵嘴巴，按压了腹部，说从外面看不出异常，可能还会发烧会有体温起伏，给开了抗生素和止痛退烧药。去拿药又排了半个多小时队。药剂师讲的特别详细核对了体重年龄挨个讲该怎么吃药讲了二十分钟，给了满满一袋子药，光抗生素就十多瓶,无,无,2020-01-04 23:45,iPhone客户端,2,0,1
InYW5BDVX,羊羊家的姐姐,2618602237,在发烧中结束2019年，在肺炎住院中开始了2020年。,无,无,2020-01-04 23:45,iPhone客户端,0,0,0
InYVN0Pln,本人狐狸,6399669257,第一次来武汉失望，失望，顶着疑似的风险飞来燥，居然要求坐，我去，摇滚耶，站起来跳居然被叫做坐下，乖乖的怎么摇滚，还有武汉人民真的都是乖宝贝。不开森。还好有旅行团，还好有痛仰。。  2020年，内心自由，摇滚不死。 ,无,无,2020-01-04 23:44,HUAWEI Mate 30 Pro,0,0,3
